iter	RMSE
0	14.03671293
1	13.68129435
2	13.36491932
3	13.04859622
4	12.76228428
5	12.4685908
6	12.18858343
7	11.92785046
8	11.68616771
9	11.45644887
10	11.25714816
11	11.04396661
12	10.84440717
13	10.65245297
14	10.48409638
15	10.30941571
16	10.15209043
17	10.00522216
18	9.86576725
19	9.736100798
20	9.62566806
21	9.519427522
22	9.40532807
23	9.297264279
24	9.214792364
25	9.111556859
26	9.011587139
27	8.919838082
28	8.830694875
29	8.752152947
30	8.680060696
31	8.615495627
32	8.575349196
33	8.520817436
34	8.46932126
35	8.41379899
36	8.363319894
37	8.316150597
38	8.26741293
39	8.220886164
40	8.180350838
41	8.138431807
42	8.095652093
43	8.057024298
44	8.019623845
45	7.987046462
46	7.954494242
47	7.92824223
48	7.899995306
49	7.873087845
50	7.852403445
51	7.836373006
52	7.817888102
53	7.795719117
54	7.786545424
55	7.76870606
56	7.747715472
57	7.727940541
58	7.707816253
59	7.694583539
60	7.685129551
61	7.67106236
62	7.667128387
63	7.656640656
64	7.644132126
65	7.631367649
66	7.625520951
67	7.617007843
68	7.603718356
69	7.598823607
70	7.58635982
71	7.572600855
72	7.560515354
73	7.549797114
74	7.536761025
75	7.525778192
76	7.517397492
77	7.50780563
78	7.503103532
79	7.493950313
80	7.486385552
81	7.476207518
82	7.468787392
83	7.459115704
84	7.454846366
85	7.451705231
86	7.445064127
87	7.434685828
88	7.429573419
89	7.428315304
90	7.421181228
91	7.417210058
92	7.409719094
93	7.406398306
94	7.401588775
95	7.400687193
96	7.394718563
97	7.38741598
98	7.383620321
99	7.380374406
100	7.373259501
101	7.369651125
102	7.36570646
103	7.362200864
104	7.359957145
105	7.355589171
106	7.348672292
107	7.341479547
108	7.338635528
109	7.335911224
110	7.333409679
111	7.330646317
112	7.324767749
113	7.318444077
114	7.316517611
115	7.311312295
116	7.309228411
117	7.304309769
118	7.299083665
119	7.294477328
120	7.292308945
121	7.28910249
122	7.28371922
123	7.277444316
124	7.272230633
125	7.271858582
126	7.264358179
127	7.263045027
128	7.260099278
129	7.254767213
130	7.252998873
131	7.248567692
132	7.247911925
133	7.247647371
134	7.242831295
135	7.241673024
136	7.235503845
137	7.235503844
138	7.230152644
139	7.225206985
140	7.222535059
141	7.220280909
142	7.214265049
143	7.210155662
144	7.204869168
145	7.202255179
146	7.199085346
147	7.197146382
148	7.191460383
149	7.189764132
150	7.185035243
151	7.182248001
152	7.179637902
153	7.178036848
154	7.175934576
155	7.175251108
156	7.173115152
157	7.170560526
158	7.167474416
159	7.166513729
160	7.164637393
161	7.157718716
162	7.153952114
163	7.15030442
164	7.148865563
165	7.146077635
166	7.141293664
167	7.138714736
168	7.136873112
169	7.132616406
170	7.127415439
171	7.125721005
172	7.123796033
173	7.121971511
174	7.115260101
175	7.11161352
176	7.108704188
177	7.106802119
178	7.10388272
179	7.100065467
180	7.095976377
181	7.089595617
182	7.08698824
183	7.081852952
184	7.080958392
185	7.076268795
186	7.074220941
187	7.071088827
188	7.069349648
189	7.064692163
190	7.062732993
191	7.058338943
192	7.056653967
193	7.054935643
194	7.053207954
195	7.050257563
196	7.048661862
197	7.043827199
198	7.039122027
199	7.037477238
200	7.032314508
201	7.030503004
202	7.027644026
203	7.025234892
204	7.024104566
205	7.02224657
206	7.019549376
207	7.0185625
208	7.016157603
209	7.014797504
210	7.013758977
211	7.012264821
212	7.011045376
213	7.008779589
214	7.007940108
215	7.00496045
216	7.003892288
217	6.99979845
218	6.997891912
219	6.995586606
220	6.99312303
221	6.992524301
222	6.990519471
223	6.988446819
224	6.986918176
225	6.984946082
226	6.980650418
227	6.976697997
228	6.972581294
229	6.970060988
230	6.964774746
231	6.963605492
232	6.960948838
233	6.955381462
234	6.951934376
235	6.94966861
236	6.947259875
237	6.944097898
238	6.942137276
239	6.940575437
240	6.939106578
241	6.936934637
242	6.933623285
243	6.932200861
244	6.928538531
245	6.924604641
246	6.921983668
247	6.920754096
248	6.917261352
249	6.914019686
250	6.910921912
251	6.909666381
252	6.905436432
253	6.903105295
254	6.901765402
255	6.898988045
256	6.898181374
257	6.894359193
258	6.892002983
259	6.89096499
260	6.889405373
261	6.886938984
262	6.886359253
263	6.881812725
264	6.880243519
265	6.878150431
266	6.875259701
267	6.870014361
268	6.866008608
269	6.865478332
270	6.864067958
271	6.861963892
272	6.856370235
273	6.854990891
274	6.853194994
275	6.850622303
276	6.848827302
277	6.845482057
278	6.843374128
279	6.841651535
280	6.837561981
281	6.835247236
282	6.832667779
283	6.831111252
284	6.829401138
285	6.826384858
286	6.826056341
287	6.825756942
288	6.82324909
289	6.821964199
290	6.821264364
291	6.820181722
292	6.819145029
293	6.818749974
294	6.816799017
295	6.816428077
296	6.815213853
297	6.811860734
298	6.811040034
299	6.810599538
300	6.807518865
301	6.806289799
302	6.800069945
303	6.798486127
304	6.795511305
305	6.791335387
306	6.787952834
307	6.787005937
308	6.786314297
309	6.78533392
310	6.782460596
311	6.781468465
312	6.779271447
313	6.777172286
314	6.775370073
315	6.772069521
316	6.769198222
317	6.767279871
318	6.765506788
319	6.762048222
320	6.758433374
321	6.757224628
322	6.755847381
323	6.754715249
324	6.751785062
325	6.750299385
326	6.749763825
327	6.747442249
328	6.743402165
329	6.740316602
330	6.738869338
331	6.736439464
332	6.736068251
333	6.734357441
334	6.732618683
335	6.729513927
336	6.728648351
337	6.725832316
338	6.725266241
339	6.723156485
340	6.720277496
341	6.719455431
342	6.717630653
343	6.715921794
344	6.715119067
345	6.714699803
346	6.712270032
347	6.708108472
348	6.70447418
349	6.702500227
350	6.700351538
351	6.697093982
352	6.696147718
353	6.692924596
354	6.68906701
355	6.684645237
356	6.683990784
357	6.681841123
358	6.680223413
359	6.676978201
360	6.67614432
361	6.674052641
362	6.672781366
363	6.670903219
364	6.66870256
365	6.667041271
366	6.665154271
367	6.662110566
368	6.660857177
369	6.660124582
370	6.657336324
371	6.654290442
372	6.652335553
373	6.650650316
374	6.646397031
375	6.644020159
376	6.641768311
377	6.636408391
378	6.633928405
379	6.630695832
380	6.627002436
381	6.625521956
382	6.622707636
383	6.620383657
384	6.619042919
385	6.618037591
386	6.6167284
387	6.613010554
388	6.611873854
389	6.609303748
390	6.60801691
391	6.606337979
392	6.605787667
393	6.60367097
394	6.603407196
395	6.602024773
396	6.598226067
397	6.594134405
398	6.593131329
399	6.590697276
400	6.589106049
401	6.587330185
402	6.583439369
403	6.582646564
404	6.581017201
405	6.577643312
406	6.576546805
407	6.573545412
408	6.572433463
409	6.569401305
410	6.565234199
411	6.564077265
412	6.562466311
413	6.559823474
414	6.55958046
415	6.555017203
416	6.55313452
417	6.550985309
418	6.548738139
419	6.545433549
420	6.543041586
421	6.541935832
422	6.538619666
423	6.536145881
424	6.533650461
425	6.531905509
426	6.530473488
427	6.528991953
428	6.527630838
429	6.523881891
430	6.522277247
431	6.520738484
432	6.519870015
433	6.517593684
434	6.515480861
435	6.512904265
436	6.511434306
437	6.509463418
438	6.506259833
439	6.504018109
440	6.501349654
441	6.499310152
442	6.496917061
443	6.495406144
444	6.491700096
445	6.48883992
446	6.485453332
447	6.481215391
448	6.479208281
449	6.47635696
450	6.473969257
451	6.469903405
452	6.467375129
453	6.465846422
454	6.463880602
455	6.460972734
456	6.457424427
457	6.454521419
458	6.452205672
459	6.449554592
460	6.44681404
461	6.443396625
462	6.441069002
463	6.439070632
464	6.437910402
465	6.43495692
466	6.433686496
467	6.431528037
468	6.428581937
469	6.425860218
470	6.422717035
471	6.42168753
472	6.42013124
473	6.417322908
474	6.415644692
475	6.414031254
476	6.412074054
477	6.409505638
478	6.407467873
479	6.405476611
480	6.40349764
481	6.400652784
482	6.398186935
483	6.394906416
