iter	Passed	Remaining
0	40	40569
1	76	38262
2	108	35917
3	155	38816
4	187	37366
5	218	36132
6	248	35311
7	278	34524
8	309	34079
9	339	33620
10	369	33209
11	399	32881
12	430	32675
13	467	32944
14	500	32846
15	531	32694
16	561	32459
17	590	32211
18	621	32079
19	646	31661
20	665	31045
21	695	30923
22	724	30791
23	754	30699
24	774	30188
25	805	30170
26	836	30141
27	865	30054
28	895	29991
29	926	29958
30	968	30283
31	1008	30499
32	1026	30083
33	1060	30131
34	1098	30294
35	1137	30471
36	1174	30575
37	1204	30498
38	1238	30507
39	1268	30444
40	1299	30385
41	1329	30336
42	1358	30224
43	1389	30187
44	1418	30095
45	1452	30122
46	1483	30072
47	1513	30025
48	1545	30003
49	1576	29945
50	1609	29954
51	1637	29858
52	1668	29813
53	1708	29924
54	1723	29608
55	1747	29461
56	1777	29414
57	1806	29338
58	1835	29267
59	1866	29242
60	1891	29114
61	1925	29136
62	1936	28806
63	1973	28857
64	2004	28840
65	2033	28783
66	2053	28593
67	2082	28540
68	2112	28502
69	2127	28269
70	2157	28235
71	2187	28199
72	2224	28249
73	2259	28269
74	2292	28270
75	2320	28212
76	2352	28195
77	2382	28163
78	2411	28115
79	2442	28087
80	2475	28090
81	2507	28066
82	2535	28010
83	2564	27970
84	2595	27936
85	2628	27931
86	2658	27902
87	2689	27869
88	2718	27826
89	2743	27737
90	2773	27701
91	2799	27632
92	2827	27576
93	2857	27536
94	2888	27514
95	2903	27339
96	2933	27309
97	2964	27281
98	2995	27258
99	3026	27234
100	3056	27204
101	3087	27185
102	3118	27157
103	3151	27151
104	3183	27134
105	3211	27089
106	3241	27050
107	3272	27024
108	3306	27030
109	3342	27045
110	3376	27040
111	3405	26999
112	3437	26982
113	3469	26964
114	3494	26893
115	3524	26859
116	3551	26799
117	3583	26785
118	3620	26800
119	3650	26772
120	3682	26749
121	3713	26728
122	3744	26697
123	3775	26674
124	3805	26640
125	3816	26473
126	3848	26454
127	3881	26442
128	3924	26498
129	3964	26531
130	3999	26528
131	4040	26570
132	4093	26681
133	4112	26574
134	4153	26612
135	4175	26526
136	4211	26529
137	4223	26380
138	4261	26398
139	4299	26410
140	4333	26402
141	4371	26415
142	4410	26429
143	4452	26469
144	4491	26486
145	4524	26464
146	4562	26474
147	4606	26519
148	4640	26502
149	4671	26469
150	4701	26434
151	4734	26413
152	4765	26380
153	4797	26356
154	4830	26335
155	4862	26309
156	4896	26289
157	4927	26260
158	4958	26227
159	4999	26249
160	5029	26211
161	5062	26185
162	5094	26157
163	5125	26130
164	5156	26093
165	5188	26067
166	5218	26028
167	5249	25995
168	5282	25974
169	5312	25936
170	5343	25906
171	5372	25863
172	5402	25825
173	5436	25806
174	5476	25818
175	5520	25844
176	5569	25895
177	5612	25918
178	5645	25895
179	5677	25862
180	5722	25893
181	5752	25854
182	5783	25819
183	5813	25779
184	5843	25742
185	5874	25710
186	5904	25668
187	5935	25635
188	5964	25594
189	5996	25562
190	6026	25525
191	6055	25484
192	6089	25462
193	6124	25444
194	6159	25426
195	6194	25409
196	6231	25399
197	6269	25392
198	6303	25373
199	6336	25344
200	6368	25315
201	6398	25275
202	6430	25247
203	6462	25216
204	6492	25180
205	6522	25141
206	6553	25105
207	6583	25068
208	6616	25042
209	6652	25024
210	6686	25004
211	6723	24990
212	6753	24952
213	6782	24912
214	6811	24868
215	6843	24837
216	6872	24797
217	6901	24757
218	6932	24721
219	6962	24686
220	6992	24646
221	7022	24611
222	7060	24601
223	7101	24600
224	7132	24566
225	7162	24530
226	7193	24494
227	7223	24459
228	7254	24424
229	7285	24390
230	7316	24357
231	7347	24321
232	7378	24287
233	7411	24260
234	7443	24230
235	7474	24197
236	7506	24167
237	7536	24130
238	7567	24096
239	7600	24068
240	7630	24032
241	7659	23992
242	7691	23960
243	7722	23926
244	7756	23901
245	7792	23884
246	7827	23863
247	7856	23823
248	7886	23787
249	7917	23753
250	7947	23716
251	7978	23683
252	8009	23648
253	8043	23624
254	8073	23587
255	8105	23556
256	8135	23520
257	8166	23486
258	8196	23451
259	8227	23416
260	8258	23383
261	8288	23346
262	8321	23318
263	8353	23287
264	8383	23251
265	8413	23214
266	8447	23190
267	8478	23156
268	8508	23122
269	8540	23091
270	8570	23055
271	8602	23025
272	8633	22989
273	8666	22962
274	8696	22928
275	8724	22885
276	8754	22849
277	8783	22810
278	8812	22773
279	8844	22743
280	8882	22727
281	8917	22705
282	8951	22679
283	8982	22646
284	9013	22611
285	9042	22575
286	9073	22541
287	9101	22501
288	9132	22467
289	9162	22432
290	9193	22399
291	9224	22365
292	9253	22328
293	9282	22290
294	9311	22253
295	9341	22217
296	9370	22180
297	9399	22142
298	9434	22119
299	9475	22108
300	9547	22171
301	9583	22150
302	9618	22125
303	9656	22107
304	9692	22087
305	9726	22060
306	9759	22030
307	9790	21996
308	9833	21990
309	9867	21962
310	9902	21937
311	9936	21911
312	9975	21894
313	10014	21879
314	10049	21852
315	10100	21863
316	10131	21828
317	10161	21792
318	10192	21758
319	10223	21725
320	10251	21684
321	10283	21653
322	10311	21613
323	10341	21577
324	10371	21541
325	10401	21505
326	10435	21476
327	10464	21440
328	10496	21407
329	10527	21373
330	10555	21334
331	10586	21300
332	10605	21243
333	10635	21207
334	10666	21173
335	10697	21140
336	10727	21104
337	10755	21066
338	10776	21013
339	10806	20977
340	10837	20944
341	10867	20908
342	10898	20874
343	10929	20842
344	10958	20805
345	10988	20769
346	11017	20732
347	11047	20698
348	11083	20674
349	11121	20653
350	11156	20628
351	11188	20597
352	11220	20564
353	11249	20528
354	11278	20491
355	11308	20456
356	11337	20419
357	11365	20382
358	11396	20348
359	11430	20320
360	11459	20284
361	11488	20247
362	11519	20215
363	11550	20182
364	11581	20149
365	11612	20115
366	11641	20078
367	11672	20045
368	11701	20010
369	11733	19978
370	11764	19945
371	11794	19910
372	11824	19876
373	11853	19840
374	11887	19812
375	11922	19786
376	11955	19757
377	11986	19723
378	12015	19687
379	12045	19652
380	12088	19639
381	12116	19602
382	12147	19568
383	12180	19539
384	12218	19518
385	12252	19489
386	12284	19457
387	12331	19450
388	12371	19432
389	12412	19414
390	12448	19388
391	12481	19358
392	12516	19331
393	12551	19305
394	12587	19280
395	12622	19252
396	12657	19224
397	12689	19193
398	12725	19167
399	12759	19138
400	12794	19112
401	12829	19084
402	12864	19057
403	12901	19032
404	12939	19009
405	12974	18982
406	13008	18953
407	13042	18924
408	13077	18896
409	13111	18868
410	13146	18840
411	13182	18813
412	13215	18783
413	13248	18752
414	13288	18731
